workbook,sheet,cell,formula,cached_or_converted_value
14nov.xls,toll,S16,=-1*I16-(H16*(P16/3600)),-19.5
14nov.xls,toll,T16,=-H16*(O16/3600),-0.0116229988814874
14nov.xls,toll,U16,=T16-S16,19.4883770011185
14nov.xls,toll,V16,=1/(1+EXP(U16)),3.43799630562773e-09
14nov.xls,toll,W16,=RAND(),0.555024605448202
14nov.xls,toll,X16,"=IF(W16<V16,1,0)",0
14nov.xls,toll,Y16,=(M16*(1-X16)+N16*X16)*D16+M16*E16,100.738410700958
14nov.xls,toll,Z16,=((1-X16)*O16+X16*P16)*D16+E16*O16,10
14nov.xls,toll,AA16,"=IF(D16*X16>0,AA15,Q16)",0
14nov.xls,toll,AB16,=(X16*D16),0
14nov.xls,toll,AC16,=SUM(AB$10:AB15)/K16,0
14nov.xls,toll,AD16,=R16*E16+D16*(X16*S16+(1-X16)*T16),-0.0255363265928588
14nov.xls,toll,AE16,=Z16,10
14nov.xls,toll,AF16,=E16*O16,10
14nov.xls,toll,AG16,=((1-X16)*O16+X16*P16)*D16,0
14nov.xls,toll,AH16,=D16*(LN(EXP(S16)+EXP(T16))),0
14nov.xls,toll,AJ16,=$J$5,10
14nov.xls,toll,AK16,"=AJ16+MAX(K16,AK$10:AK15)",100.738410700958
14nov.xls,toll,AL16,=AK16-K16,10
14nov.xls,toll,AM16,=-G16*AL16/3600,-0.0255363265928588
14nov.xls,toll,AN16,=-H16*AL16/3600,-0.0116229988814874
14nov.xls,toll,AO16,=AM16*E16+AN16*D16,-0.0255363265928588
14nov.xls,toll,AP16,=AL16*D16,0
14nov.xls,toll,AR16,=AN16*D16,0
14nov.xls,toll,AS16,=AH16-AR16,0
14nov.xls,toll,A17,=A16+1,8
14nov.xls,toll,B17,"=IF(A17<$N$4/3,0.1,(IF(A17>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C17,=RAND(),0.0757020919203193
14nov.xls,toll,D17,"=IF((C17>$M$2),1,0)",0
14nov.xls,toll,E17,=1-D17,1
14nov.xls,toll,F17,=RAND(),0.724345840123093
14nov.xls,toll,G17,=7.75+F17*10,14.9934584012309
14nov.xls,toll,H17,"=LOGINV(F17,2.64,1.139)",27.6221253105086
14nov.xls,toll,J17,=-LN(RAND())/B17,3.91519915150824
14nov.xls,toll,K17,=K16+J17,94.6536098524664
14nov.xls,toll,L17,=(1/$J$4)*(1+AB16),10
14nov.xls,toll,M17,"=L17+MAX(K17,Y$10:Y16)",110.738410700958
14nov.xls,toll,N17,=K17,94.6536098524664
14nov.xls,toll,O17,=M17-K17,16.0848008484918
14nov.xls,toll,P17,=N17-K17,0
14nov.xls,toll,Q17,"=A17-MATCH(K17,$M$9:M16,1)",1
14nov.xls,toll,R17,=-G17*(O17/3600),-0.0669907756705403
14nov.xls,toll,S17,=-1*I17-(H17*(P17/3600)),-19.5
14nov.xls,toll,T17,=-H17*(O17/3600),-0.123415662397671
14nov.xls,toll,U17,=T17-S17,19.3765843376023
14nov.xls,toll,V17,=1/(1+EXP(U17)),3.84464586313291e-09
14nov.xls,toll,W17,=RAND(),0.888780477461159
14nov.xls,toll,X17,"=IF(W17<V17,1,0)",0
14nov.xls,toll,Y17,=(M17*(1-X17)+N17*X17)*D17+M17*E17,110.738410700958
14nov.xls,toll,Z17,=((1-X17)*O17+X17*P17)*D17+E17*O17,16.0848008484918
14nov.xls,toll,AA17,"=IF(D17*X17>0,AA16,Q17)",1
14nov.xls,toll,AB17,=(X17*D17),0
14nov.xls,toll,AC17,=SUM(AB$10:AB16)/K17,0
14nov.xls,toll,AD17,=R17*E17+D17*(X17*S17+(1-X17)*T17),-0.0669907756705403
14nov.xls,toll,AE17,=Z17,16.0848008484918
14nov.xls,toll,AF17,=E17*O17,16.0848008484918
14nov.xls,toll,AG17,=((1-X17)*O17+X17*P17)*D17,0
14nov.xls,toll,AH17,=D17*(LN(EXP(S17)+EXP(T17))),0
14nov.xls,toll,AJ17,=$J$5,10
14nov.xls,toll,AK17,"=AJ17+MAX(K17,AK$10:AK16)",110.738410700958
14nov.xls,toll,AL17,=AK17-K17,16.0848008484918
14nov.xls,toll,AM17,=-G17*AL17/3600,-0.0669907756705403
14nov.xls,toll,AN17,=-H17*AL17/3600,-0.123415662397671
14nov.xls,toll,AO17,=AM17*E17+AN17*D17,-0.0669907756705403
14nov.xls,toll,AP17,=AL17*D17,0
14nov.xls,toll,AR17,=AN17*D17,0
14nov.xls,toll,AS17,=AH17-AR17,0
14nov.xls,toll,A18,=A17+1,9
14nov.xls,toll,B18,"=IF(A18<$N$4/3,0.1,(IF(A18>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C18,=RAND(),0.783488289473673
14nov.xls,toll,D18,"=IF((C18>$M$2),1,0)",0
14nov.xls,toll,E18,=1-D18,1
14nov.xls,toll,F18,=RAND(),0.467723192469437
14nov.xls,toll,G18,=7.75+F18*10,12.4272319246944
14nov.xls,toll,H18,"=LOGINV(F18,2.64,1.139)",12.778286307296
14nov.xls,toll,J18,=-LN(RAND())/B18,7.74270283009835
14nov.xls,toll,K18,=K17+J18,102.396312682565
14nov.xls,toll,L18,=(1/$J$4)*(1+AB17),10
14nov.xls,toll,M18,"=L18+MAX(K18,Y$10:Y17)",120.738410700958
14nov.xls,toll,N18,=K18,102.396312682565
14nov.xls,toll,O18,=M18-K18,18.3420980183934
14nov.xls,toll,P18,=N18-K18,0
14nov.xls,toll,Q18,"=A18-MATCH(K18,$M$9:M17,1)",1
14nov.xls,toll,R18,=-G18*(O18/3600),-0.0633170850166811
14nov.xls,toll,S18,=-1*I18-(H18*(P18/3600)),-19.5
14nov.xls,toll,T18,=-H18*(O18/3600),-0.0651057166543103
14nov.xls,toll,U18,=T18-S18,19.4348942833457
14nov.xls,toll,V18,=1/(1+EXP(U18)),3.62687555857909e-09
14nov.xls,toll,W18,=RAND(),0.447613299191632
14nov.xls,toll,X18,"=IF(W18<V18,1,0)",0
14nov.xls,toll,Y18,=(M18*(1-X18)+N18*X18)*D18+M18*E18,120.738410700958
14nov.xls,toll,Z18,=((1-X18)*O18+X18*P18)*D18+E18*O18,18.3420980183934
14nov.xls,toll,AA18,"=IF(D18*X18>0,AA17,Q18)",1
14nov.xls,toll,AB18,=(X18*D18),0
14nov.xls,toll,AC18,=SUM(AB$10:AB17)/K18,0
14nov.xls,toll,AD18,=R18*E18+D18*(X18*S18+(1-X18)*T18),-0.0633170850166811
14nov.xls,toll,AE18,=Z18,18.3420980183934
14nov.xls,toll,AF18,=E18*O18,18.3420980183934
14nov.xls,toll,AG18,=((1-X18)*O18+X18*P18)*D18,0
14nov.xls,toll,AH18,=D18*(LN(EXP(S18)+EXP(T18))),0
14nov.xls,toll,AJ18,=$J$5,10
14nov.xls,toll,AK18,"=AJ18+MAX(K18,AK$10:AK17)",120.738410700958
14nov.xls,toll,AL18,=AK18-K18,18.3420980183934
14nov.xls,toll,AM18,=-G18*AL18/3600,-0.0633170850166811
14nov.xls,toll,AN18,=-H18*AL18/3600,-0.0651057166543103
14nov.xls,toll,AO18,=AM18*E18+AN18*D18,-0.0633170850166811
14nov.xls,toll,AP18,=AL18*D18,0
14nov.xls,toll,AR18,=AN18*D18,0
14nov.xls,toll,AS18,=AH18-AR18,0
14nov.xls,toll,A19,=A18+1,10
14nov.xls,toll,B19,"=IF(A19<$N$4/3,0.1,(IF(A19>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C19,=RAND(),0.332374806510255
14nov.xls,toll,D19,"=IF((C19>$M$2),1,0)",0
14nov.xls,toll,E19,=1-D19,1
14nov.xls,toll,F19,=RAND(),0.972175972477518
14nov.xls,toll,G19,=7.75+F19*10,17.4717597247752
14nov.xls,toll,H19,"=LOGINV(F19,2.64,1.139)",123.939972224294
14nov.xls,toll,J19,=-LN(RAND())/B19,4.78478745558962
14nov.xls,toll,K19,=K18+J19,107.181100138154
14nov.xls,toll,L19,=(1/$J$4)*(1+AB18),10
14nov.xls,toll,M19,"=L19+MAX(K19,Y$10:Y18)",130.738410700958
14nov.xls,toll,N19,=K19,107.181100138154
14nov.xls,toll,O19,=M19-K19,23.5573105628038
14nov.xls,toll,P19,=N19-K19,0
14nov.xls,toll,Q19,"=A19-MATCH(K19,$M$9:M18,1)",2
14nov.xls,toll,R19,=-G19*(O19/3600),-0.114329908309782
14nov.xls,toll,S19,=-1*I19-(H19*(P19/3600)),-19.5
14nov.xls,toll,T19,=-H19*(O19/3600),-0.81102567134249
14nov.xls,toll,U19,=T19-S19,18.6889743286575
14nov.xls,toll,V19,=1/(1+EXP(U19)),7.64683242991315e-09
14nov.xls,toll,W19,=RAND(),0.455390348529171
14nov.xls,toll,X19,"=IF(W19<V19,1,0)",0
14nov.xls,toll,Y19,=(M19*(1-X19)+N19*X19)*D19+M19*E19,130.738410700958
14nov.xls,toll,Z19,=((1-X19)*O19+X19*P19)*D19+E19*O19,23.5573105628038
14nov.xls,toll,AA19,"=IF(D19*X19>0,AA18,Q19)",2
14nov.xls,toll,AB19,=(X19*D19),0
14nov.xls,toll,AC19,=SUM(AB$10:AB18)/K19,0
14nov.xls,toll,AD19,=R19*E19+D19*(X19*S19+(1-X19)*T19),-0.114329908309782
14nov.xls,toll,AE19,=Z19,23.5573105628038
14nov.xls,toll,AF19,=E19*O19,23.5573105628038
14nov.xls,toll,AG19,=((1-X19)*O19+X19*P19)*D19,0
