free way conditions,,,,,,,,,,,%vehicles,,total,,,statistix,,,max,,,CS,3.60948032968099,,,,,,,,,,,,,,,,total d,147854.679305261,,,,
,max,current,,freeway flow,,ramp meter rate,,by pass rate,,,car,0.9,906,,,toll veh,1,,q,67,,,,,,,,,,,,,,,,,,,total u,-591.05944864617,,,,
speed,65,25,,Q,,q1,,q2,,,truck,0.1,94,,,total u,-587.609382815455,,delay,672.096790023004,,,,,,,,,,,,,,,,,,,trucks-d,17585.236108813,,,,
density,120,75,,,,,,q1+q2,0.1,vps,,,1000,,,total delay,147177.208779751,,avg-q,14.232,,,,,,,,,,,,,,,,,,,,,,,,
# lanes,3,,,,,service time (max) (sec),,,10,,,,,,,(trucks),16907.7655833028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d-nothing,,,,,,,,,
,,,,,,Value of Time($),,,,,ramp-meter,expected departure,,expected delay,,ramp,,Utility ,,,,,,,,,,,,,,,,,,expected,expected,utilities,,Utility ,trucks,,,
veh #,avg-h,rnd,truck tag,car tag,rnd,Car,truck,toll, headway,arrival time,service time,ramp,bypass,ramp,bypass,queue#,car,tolled,untolled,util diff,prob,rand,choice,departure,delay,actual q#,toll trucks,q2 (vps), util (veh),total (delay),delay(cars),delay(trucks),CS (toll),,service time,departure,delay,car,truck, util (veh),delay,,CS (dn),delta(CS)
31,0.1,0.173240726198888,0,1,0.787568255022608,15.6256825502261,34.7762867607268,19.5,0.752283972131731,308.37925415332,10,340.738410700958,308.37925415332,32.3591565476381,0,3,-0.140453863279573,-19.5,-0.312592029843309,19.1874079701567,4.64530885575392e-09,0.377005174517355,0,340.738410700958,32.3591565476381,3,0,0,-0.140453863279573,32.3591565476381,32.3591565476381,0,0,,10,340.738410700958,32.3591565476381,-0.140453863279573,-0.312592029843309,-0.140453863279573,0,,0,0
32,0.1,0.495030877613745,0,1,0.763191597755113,15.3819159775511,31.6967781477792,19.5,8.39217502994993,316.77142918327,10,350.738410700958,316.77142918327,33.9669815176881,0,3,-0.145132571032253,-19.5,-0.29906774375441,19.2009322562456,4.58290728955596e-09,0.286306335792601,0,350.738410700958,33.9669815176881,3,0,0,-0.145132571032253,33.9669815176881,33.9669815176881,0,0,,10,350.738410700958,33.9669815176881,-0.145132571032253,-0.29906774375441,-0.145132571032253,0,,0,0
33,0.1,0.870334379390047,0,1,0.11336588385044,8.8836588385044,3.53655579130613,19.5,1.23543787155173,318.006867054822,10,360.738410700958,318.006867054822,42.7315436461364,0,4,-0.105447904276371,-19.5,-0.0419784689314429,19.4580215310686,3.54395842767455e-09,0.840976012676585,0,360.738410700958,42.7315436461364,4,0,0,-0.105447904276371,42.7315436461364,42.7315436461364,0,0,,10,360.738410700958,42.7315436461364,-0.105447904276371,-0.0419784689314428,-0.105447904276371,0,,0,0
34,0.1,0.0825637838687718,0,1,0.673413137125699,14.484131371257,23.3785348096886,19.5,47.6255843626419,365.632451417464,10,375.632451417464,365.632451417464,10,0,0,-0.0402336982534916,-19.5,-0.0649403744713572,19.4350596255286,3.62627593263221e-09,0.663756804731158,0,375.632451417464,10,0,0,0,-0.0402336982534916,10,10,0,0,,10,375.632451417464,10,-0.0402336982534916,-0.0649403744713572,-0.0402336982534916,0,,0,0
35,0.1,0.920762359015783,1,0,0.741417976535954,15.1641797653595,29.3049556121468,19.5,14.4677708495521,380.100222267016,10,390.100222267016,380.100222267016,10,0,0,-0.0421227215704432,-19.5,-0.0814026544781856,19.4185973455218,3.68646678216932e-09,0.322863214677402,0,390.100222267016,10,0,0,0,-0.0814026544781856,10,0,10,-0.0814026507917188,,10,390.100222267016,10,-0.0421227215704432,-0.0814026544781856,-0.0814026544781856,10,,-0.0814026544781856,3.68646675685813e-09
36,0.1,0.0929625404266985,0,1,0.262303849237081,10.3730384923708,6.78898285682028,19.5,20.5642542811102,400.664476548126,10,410.664476548126,400.664476548126,10,0,0,-0.0288139958121411,-19.5,-0.0188582857133897,19.4811417142866,3.46296140084332e-09,0.966556315152971,0,410.664476548126,10,0,0,0,-0.0288139958121411,10,10,0,0,,10,410.664476548126,10,-0.0288139958121411,-0.0188582857133897,-0.0288139958121411,0,,0,0
37,0.1,0.73981664492605,0,1,0.293220002800772,10.6822000280077,7.54120189202028,19.5,6.30396247231466,406.968439020441,10,420.664476548126,406.968439020441,13.6960375276853,0,1,-0.0406399479060653,-19.5,-0.0286901622547115,19.4713098377453,3.49717673453244e-09,0.614280309700202,0,420.664476548126,13.6960375276853,1,0,0,-0.0406399479060653,13.6960375276853,13.6960375276853,0,0,,10,420.664476548126,13.6960375276853,-0.0406399479060653,-0.0286901622547115,-0.0406399479060653,0,,0,0
38,0.1,0.301810486776658,0,1,0.399754167655266,11.7475416765527,10.4930468990109,19.5,17.0533762841521,424.021815304593,10,434.021815304593,424.021815304593,10,0,0,-0.0326320602126463,-19.5,-0.0291473524972524,19.4708526475028,3.49877597515706e-09,0.114233324399795,0,434.021815304593,10,0,0,0,-0.0326320602126463,10,10,0,0,,10,434.021815304593,10,-0.0326320602126463,-0.0291473524972524,-0.0326320602126463,0,,0,0
39,0.1,0.908063406688588,1,0,0.860546828093213,16.3554682809321,48.1001721299577,19.5,20.0605770843527,444.082392388945,10,454.082392388945,444.082392388945,10,0,0,-0.0454318563359226,-19.5,-0.133611589249882,19.3663884107501,3.88404611066793e-09,0.227677923487005,0,454.082392388945,10,0,0,0,-0.133611589249882,10,0,10,-0.133611585365836,,10,454.082392388945,10,-0.0454318563359226,-0.133611589249882,-0.133611589249882,10,,-0.133611589249882,3.88404608475668e-09
40,0.1,0.684440472306028,0,1,0.380336170004356,11.5533617000436,9.90522972639969,19.5,0.259421018160968,444.341813407106,10,464.082392388945,444.341813407106,19.740578981839,0,1,-0.0633527914292955,-19.5,-0.0543152693742369,19.4456847306258,3.5879503371714e-09,0.135676940940112,0,464.082392388945,19.740578981839,1,0,0,-0.0633527914292955,19.740578981839,19.740578981839,0,0,,10,464.082392388945,19.740578981839,-0.0633527914292955,-0.0543152693742369,-0.0633527914292955,0,,0,0
41,0.1,0.490721182463119,0,1,0.901020887807588,16.7602088780759,60.7239233700099,19.5,2.0494062425889,446.391219649695,10,474.082392388945,446.391219649695,27.6911727392501,0,2,-0.128919399774642,-19.5,-0.467087958734426,19.0329120412656,5.42139840382745e-09,0.634411259713933,0,474.082392388945,27.6911727392501,2,0,0,-0.128919399774642,27.6911727392501,27.6911727392501,0,0,,10,474.082392388945,27.6911727392501,-0.128919399774642,-0.467087958734426,-0.128919399774642,0,,0,0
